Date,PM 2.5,Minutes in Average
3/23/2019,5.808554552,1439
3/24/2019,6.440979021,1430
3/25/2019,5.342520833,1440
3/26/2019,3.412752101,1428
3/27/2019,3.85158042,1430
3/28/2019,5.414811978,1436
3/29/2019,4.980877437,1436
3/30/2019,3.720580737,1412
3/31/2019,3.836748252,1430
4/1/2019,5.293099579,1426
4/2/2019,2.850586183,1433
4/3/2019,2.414340813,1426
4/4/2019,1.595852632,1425
4/5/2019,2.241746695,1437
4/6/2019,3.473799582,1437
4/7/2019,5.281319832,1432
4/8/2019,5.515241428,1429
4/9/2019,4.199107392,1434
4/10/2019,4.670167247,1435
4/11/2019,4.711598046,1433
4/12/2019,2.573029248,1436
4/13/2019,5.328524704,1437
4/14/2019,6.948532495,1431
4/15/2019,6.828541521,1433
4/16/2019,3.24972067,1432
4/17/2019,4.547018894,1429
4/18/2019,5.679287709,1432
4/19/2019,6.036981132,1431
4/20/2019,6.705411437,1434
4/21/2019,8.649156794,1435
4/22/2019,6.645847339,1428
4/23/2019,5.452280084,1421
4/24/2019,6.175994417,1433
4/25/2019,10.55794979,1434
4/26/2019,12.01115439,1412
4/27/2019,14.10663165,1428
4/28/2019,15.53156821,1422
4/29/2019,12.50301676,1432
4/30/2019,12.27024458,1431
5/1/2019,9.778015428,1426
5/2/2019,8.172895105,1430
5/3/2019,8.302491203,1421
5/4/2019,8.972256482,1427
5/5/2019,3.789130737,1438
5/6/2019,1.751937282,1435
5/7/2019,2.446357895,1425
5/8/2019,5.135949544,1427
5/9/2019,4.246421569,1428
5/10/2019,4.182780488,1435
5/11/2019,5.243277662,1437
5/12/2019,5.192196653,1434
5/13/2019,3.879867596,1435
5/14/2019,3.417275261,1435
5/15/2019,2.616789694,1436
5/16/2019,4.833624302,1432
5/17/2019,4.885639535,860
5/24/2019,5.899365854,1435
5/25/2019,9.874344147,1418
5/26/2019,6.195851955,1432
5/27/2019,6.338784916,1432
5/28/2019,8.124979021,1430
5/29/2019,12.89036466,1426
5/30/2019,5.371791463,1429
5/31/2019,7.421202532,1422
6/1/2019,8.97469888,1428
6/3/2019,5.851487719,1425
6/4/2019,10.46208459,1324
6/5/2019,11.56439706,1360
6/6/2019,7.92982493,1428
6/7/2019,6.310668058,1437
6/8/2019,3.77042747,1427
6/9/2019,6.274267782,1434
6/10/2019,5.821422565,1427
6/11/2019,7.420989547,1435
6/12/2019,7.82860042,1429
6/13/2019,6.146613352,1438
6/14/2019,6.274464661,1429
6/15/2019,5.166687631,1431
6/16/2019,5.959463415,1435
6/17/2019,8.145267919,1437
6/18/2019,7.110905292,1436
6/19/2019,5.132667598,1432
6/20/2019,7.700534722,1440
6/21/2019,8.639888502,1435
6/22/2019,7.441260446,1436
6/23/2019,7.799106145,1432
6/24/2019,9.247166783,1433
6/25/2019,9.181480447,1432
6/26/2019,4.481544375,1431
6/27/2019,4.698301887,1431
6/28/2019,5.802994429,1436
6/29/2019,6.609713887,1433
6/30/2019,7.122475593,1434
7/1/2019,8.274032145,1431
7/2/2019,9.015647632,1436
7/3/2019,8.571993031,1435
7/4/2019,9.418787666,1427
7/5/2019,9.966457462,1434
7/6/2019,10.90484658,1434
7/7/2019,10.69670407,1426
7/8/2019,7.948223776,1430
7/9/2019,5.91053184,1429
7/10/2019,4.56958159,1434
7/11/2019,3.516195804,1430
7/12/2019,4.215493352,1429
7/13/2019,5.73485754,1439
7/14/2019,6.694030899,1424
7/15/2019,5.190230126,1434
7/16/2019,4.420077193,1425
7/17/2019,7.828046218,1428
7/18/2019,5.568543417,1428
7/19/2019,8.228749126,1431
7/20/2019,6.567275261,1435
7/21/2019,6.203708101,1432
7/22/2019,7.127423398,1436
7/23/2019,6.127426367,1426
7/24/2019,6.459359777,1437
